dataset,budget_ms,seed,method,certificate,eb-nocorrection,point-estimate,posthoc-oracle,realized,ndcg10
pooled,120.0,37,Static-ColBERTv2,,0.4922351218266391,0.45947744612180275,0.7630548302872062,0.7630548302872062,0.6265938010207986
pooled,120.0,37,Static-E5,,0.015875271634315357,0.0,0.0,0.0,0.4109913406198984
pooled,120.0,41,CWC,0.037423132600542294,0.016173328297370636,0.0,0.0006341154090044388,0.0006341154090044388,0.5219007045507835
pooled,120.0,41,StaticBest-cal,,0.03080489841063607,0.007909449634129624,0.01571973950145969,0.01571973950145969,0.6004658688235281
pooled,120.0,41,CostGreedy-cal,,0.04313487977054395,0.017137140873947524,0.021558499887716145,0.021558499887716145,0.6004658688235281
pooled,120.0,41,Static-Qwen3,,0.03080489841063607,0.007909449634129624,0.01571973950145969,0.01571973950145969,0.6004658688235281
pooled,120.0,41,Static-SPLADE,,0.016173328297370636,0.0,0.00022456770716370987,0.00022456770716370987,0.5500334593415651
pooled,120.0,41,Static-ColBERTv2,,0.4836350910640653,0.45266934072233866,0.7608765710602643,0.7608765710602643,0.6193846428356592
pooled,120.0,41,Static-E5,,0.016173328297370636,0.0,0.0,0.0,0.40851633677508015
pooled,120.0,43,CWC,0.04833171754593536,0.019756590844120625,0.0012966595899062106,0.005211726384364821,0.005211726384364821,0.5301366593923165
pooled,120.0,43,StaticBest-cal,,0.02327185828663303,0.0032416489747655263,0.01683731513083049,0.01683731513083049,0.5988813430286787
pooled,120.0,43,CostGreedy-cal,,0.03891900510681861,0.014263255488968316,0.0229806598407281,0.0229806598407281,0.5988813430286787
pooled,120.0,43,Static-Qwen3,,0.02327185828663303,0.0032416489747655263,0.01683731513083049,0.01683731513083049,0.5988813430286787
pooled,120.0,43,Static-SPLADE,,0.015746933469025677,0.0,0.00022753128555176336,0.00022753128555176336,0.5507624934868395
pooled,120.0,43,Static-ColBERTv2,,0.4823987857904297,0.45103206489120606,0.7741300065659882,0.7741300065659882,0.625248229078863
pooled,120.0,43,Static-E5,,0.015746933469025677,0.0,0.0,0.0,0.4082917386584231
pooled,120.0,47,CWC,0.04777636990445194,0.01946868475612842,0.0006566209351496521,0.003515500159795462,0.003515500159795462,0.6862541173923585
pooled,120.0,47,StaticBest-cal,,0.02955379115339697,0.006566209351496522,0.01644809957768393,0.01644809957768393,0.6050499749370174
pooled,120.0,47,CostGreedy-cal,,0.04204014555973597,0.01575890244359165,0.02511669259835519,0.02511669259835519,0.6050499749370174
pooled,120.0,47,Static-Qwen3,,0.02955379115339697,0.006566209351496522,0.01644809957768393,0.01644809957768393,0.6050499749370174
pooled,120.0,47,Static-SPLADE,,0.016868193765897394,0.0,0.0002222716159146477,0.0002222716159146477,0.5569021126922015
pooled,120.0,47,Static-ColBERTv2,,0.4920797378120994,0.46058124128730005,0.7635264162953532,0.7635264162953532,0.6324639371003119
pooled,120.0,47,Static-E5,,0.016868193765897394,0.0,0.0,0.0,0.4144105309794564
pooled,120.0,53,CWC,0.03513892715597988,0.015968381794955577,0.0,0.0,0.0,0.442672617347175
pooled,120.0,53,StaticBest-cal,,0.021125652617797797,0.0019047694060690076,0.017816354499771585,0.017816354499771585,0.5944693351916325
pooled,120.0,53,CostGreedy-cal,,0.038663757379588805,0.01396830897783939,0.024440383736866148,0.024440383736866148,0.5944693351916325
pooled,120.0,53,Static-Qwen3,,0.021125652617797797,0.0019047694060690076,0.017816354499771585,0.017816354499771585,0.5944693351916325
pooled,120.0,53,Static-SPLADE,,0.019626505299722225,0.0009236719087342065,0.0,0.0,0.546974922667482
pooled,120.0,53,Static-ColBERTv2,,0.49249246787424183,0.4603727605357151,0.7659219739913304,0.7659219739913304,0.6250992667040866
pooled,120.0,53,Static-E5,,0.015968381794955577,0.0,0.0,0.0,0.40717860801108785
pooled,160.0,13,CWC,0.03753892249149463,0.016001945038386478,0.0,0.0,0.0,0.5218225962531693
pooled,160.0,13,StaticBest-cal,,0.020031695888927413,0.001303154946097578,0.0009053870529651426,0.0009053870529651426,0.5975546649437862
pooled,160.0,13,CostGreedy-cal,,0.02129442445333346,0.001954732419146367,0.0018107741059302852,0.0018107741059302852,0.5975546649437862
pooled,160.0,13,Static-Qwen3,,0.020031695888927413,0.001303154946097578,0.0009053870529651426,0.0009053870529651426,0.5975546649437862
pooled,160.0,13,Static-SPLADE,,0.016001945038386478,0.0,0.0,0.0,0.5496473642904863
pooled,160.0,13,Static-ColBERTv2,,0.4467375460427537,0.419444471513529,0.6651436031331592,0.6651436031331592,0.6250833723695731
pooled,160.0,13,Static-E5,,0.016001945038386478,0.0,0.0,0.0,0.40990248148065617
pooled,160.0,17,CWC,0.03608597223420454,0.015706960505459326,0.0,0.0,0.0,0.5245913357943183
pooled,160.0,17,StaticBest-cal,,0.015706960505459326,0.0,0.0015804922104312486,0.0015804922104312486,0.6027899010537734
pooled,160.0,17,CostGreedy-cal,,0.019834340789999683,0.0013347387195630446,0.002257846014901784,0.002257846014901784,0.6027899010537734
pooled,160.0,17,Static-Qwen3,,0.015706960505459326,0.0,0.0015804922104312486,0.0015804922104312486,0.6027899010537734
pooled,160.0,17,Static-SPLADE,,0.015706960505459326,0.0,0.0,0.0,0.5518966146469927
pooled,160.0,17,Static-ColBERTv2,,0.4237676794214274,0.39696841566665586,0.6823757262750162,0.6823757262750162,0.6243242048096022
pooled,160.0,17,Static-E5,,0.015706960505459326,0.0,0.0,0.0,0.4144568536298275
pooled,160.0,23,CWC,0.03763242286429706,0.016251086497325033,0.0,0.0,0.0,0.6868611002711409
pooled,160.0,23,StaticBest-cal,,0.018858240436225138,0.0006583033218998396,0.0013464991023339318,0.0013464991023339318,0.6033802694559807
pooled,160.0,23,CostGreedy-cal,,0.02032241258392483,0.0013166066437996793,0.0020197486535008975,0.0020197486535008975,0.6033802694559807
pooled,160.0,23,Static-Qwen3,,0.018858240436225138,0.0006583033218998396,0.0013464991023339318,0.0013464991023339318,0.6033802694559807
pooled,160.0,23,Static-SPLADE,,0.016251086497325033,0.0,0.0,0.0,0.5510370778026369
pooled,160.0,23,Static-ColBERTv2,,0.4354618747330462,0.4076461682878835,0.6767087787495951,0.6767087787495951,0.629417372721652
pooled,160.0,23,Static-E5,,0.016251086497325033,0.0,0.0,0.0,0.4111601625104104
pooled,160.0,29,CWC,0.039417851814417745,0.017073593323388217,0.0,0.0,0.0,0.532032117712369
pooled,160.0,29,StaticBest-cal,,0.02107541839448587,0.0012941246305306915,0.00089126559714795,0.00089126559714795,0.6016832613249051
pooled,160.0,29,CostGreedy-cal,,0.02107541839448587,0.0012941246305306915,0.0015597147950089127,0.0015597147950089127,0.6016832613249051
pooled,160.0,29,Static-Qwen3,,0.02107541839448587,0.0012941246305306915,0.00089126559714795,0.00089126559714795,0.6016832613249051
pooled,160.0,29,Static-SPLADE,,0.017073593323388217,0.0,0.0,0.0,0.5499985042858595
pooled,160.0,29,Static-ColBERTv2,,0.45549243962033725,0.424939711718821,0.6732927220262904,0.6732927220262904,0.6295495865803189
pooled,160.0,29,Static-E5,,0.017073593323388217,0.0,0.0,0.0,0.41143009898642613
pooled,160.0,31,CWC,0.04009887734969168,0.016507094212868573,0.0,0.0,0.0,0.5256091888729674
pooled,160.0,31,StaticBest-cal,,0.016507094212868573,0.0,0.0009035464196973119,0.0009035464196973119,0.5989283532071419
pooled,160.0,31,CostGreedy-cal,,0.019038212603170804,0.000639104434761792,0.0013553196295459679,0.0013553196295459679,0.5989283532071419
pooled,160.0,31,Static-Qwen3,,0.016507094212868573,0.0,0.0009035464196973119,0.0009035464196973119,0.5989283532071419
pooled,160.0,31,Static-SPLADE,,0.016507094212868573,0.0,0.0,0.0,0.549426507394236
pooled,160.0,31,Static-ColBERTv2,,0.44281700693087234,0.4155257527882706,0.6857896472139795,0.6857896472139795,0.6277111532948136
pooled,160.0,31,Static-E5,,0.016507094212868573,0.0,0.0,0.0,0.41180990660839883
pooled,160.0,37,CWC,0.03733329310312766,0.015875271634315357,0.0,0.0,0.0,0.5243812295459477
pooled,160.0,37,StaticBest-cal,,0.018587540911753624,0.0006848448220045434,0.0011165698972755694,0.0011165698972755694,0.5975638461989632
pooled,160.0,37,CostGreedy-cal,,0.020110698674092334,0.0013696896440090868,0.001786511835640911,0.001786511835640911,0.5975638461989632
pooled,160.0,37,Static-Qwen3,,0.018587540911753624,0.0006848448220045434,0.0011165698972755694,0.0011165698972755694,0.5975638461989632
pooled,160.0,37,Static-SPLADE,,0.015875271634315357,0.0,0.0,0.0,0.5475296555310069
pooled,160.0,37,Static-ColBERTv2,,0.4475068604703081,0.4183867568015302,0.6759138381201044,0.6759138381201044,0.6265938010207986
pooled,160.0,37,Static-E5,,0.015875271634315357,0.0,0.0,0.0,0.4109913406198984
pooled,160.0,41,CWC,0.037423132600542294,0.016173328297370636,0.0,0.0,0.0,0.5219007045507835
