mode,valid,budget_ms,seed,n_cells,n_eval,n_cal,n_sel,rho_mean,R_cert_bound,viol_certified,ndcg_certified,viol_static,ndcg_static,abstain_frac,deploy_signature,cert_upper_bounds_realized
union,True,120.0,29,4,1584,501,500,2.858473358884451,0.2960817090266817,0.0,0.6081470515975594,0.041035353535353536,0.6409832478797257,0.5284090909090909,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
selection,True,120.0,29,4,1584,501,500,2.858473358884451,0.26651288712467214,0.0,0.6081470515975594,0.041035353535353536,0.6409832478797257,0.5284090909090909,external_qwen3_embedding_06b_pre|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post,True
as-released,False,120.0,31,4,1608,489,488,3.1133329600928032,0.27519216331756535,0.021766169154228857,0.6007192750725524,0.04788557213930348,0.633563978940921,0.0,external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_pre,True
union,True,120.0,31,4,1608,489,488,3.1133329600928032,0.2916700892377128,0.021766169154228857,0.6007192750725524,0.04788557213930348,0.633563978940921,0.0,external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_qwen3_embedding_06b_pre,True
selection,True,120.0,31,4,1608,489,488,3.1133329600928032,0.27519216331756535,0.0,0.5987543579416194,0.04788557213930348,0.633563978940921,0.10385572139303482,external_splade_cocondenser_ensembledistil_post|external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post,True
as-released,False,160.0,13,4,1557,514,514,3.330132316706946,0.24465910588878514,0.0019267822736030828,0.6071864045465457,0.0019267822736030828,0.6403948127943918,0.5202312138728323,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
union,True,160.0,13,4,1557,514,514,3.330132316706946,0.26967387809493143,0.0019267822736030828,0.6071864045465457,0.0019267822736030828,0.6403948127943918,0.5202312138728323,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
selection,True,160.0,13,4,1557,514,514,3.330132316706946,0.24465910588878514,0.0019267822736030828,0.6071864045465457,0.0019267822736030828,0.6403948127943918,0.5202312138728323,external_qwen3_embedding_06b_post|external_splade_cocondenser_ensembledistil_post|external_splade_cocondenser_ensembledistil_post|rerank_depth_100,True
as-released,False,160.0,17,4,1549,518,518,2.740421813412085,0.2612385134651651,0.0032278889606197547,0.6318188851083796,0.0032278889606197547,0.6285701501094293,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
union,True,160.0,17,4,1549,518,518,2.740421813412085,0.2944079169860952,0.0032278889606197547,0.6318188851083796,0.0032278889606197547,0.6285701501094293,0.0,external_qwen3_embedding_06b_pre|external_qwen3_embedding_06b_pre|rrf_dense_e5_base_v2_pre|external_qwen3_embedding_06b_pre,True
